,artist_name,track_name,track_id,popularity,release_date,artist_followers,Position,Track Name,Artist,Streams,URL,Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
318,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,87,iSpy (feat. Lil Yachty),KYLE,270328,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,01/01/2018,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
324,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,36,iSpy (feat. Lil Yachty),KYLE,547274,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,07/01/2017,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
330,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,75,iSpy (feat. Lil Yachty),KYLE,296363,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,10/01/2017,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
336,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,6,That's What I Like,Bruno Mars,1202223,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,04/01/2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
342,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,6,That's What I Like,Bruno Mars,1202223,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,04/01/2018,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
348,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,127,That's What I Like,Bruno Mars,183494,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,01/01/2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
354,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,77,That's What I Like,Bruno Mars,298001,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,01/01/2018,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
360,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,20,That's What I Like,Bruno Mars,690255,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,07/01/2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
366,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,82,2016-11-17,35070488,78,That's What I Like,Bruno Mars,280960,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,10/01/2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
372,Drake,Portland,2bjwRfXMk4uRgOD9IBYl9h,73,2017-03-18,58378449,7,Portland,Drake,1174803,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,04/01/2017,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,audio_features,2bjwRfXMk4uRgOD9IBYl9h,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h,236615,4
