,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,"Blueberry Faygo","Lil Mosey",261816,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
133,"Don't Start Now","Dua Lipa",261742,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
134,"Someone You Loved","Lewis Capaldi",261508,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
135,"RISE! (feat. DAISY WORLD)","Tyler, The Creator",261403,https://open.spotify.com/track/4Hta7Oy5W9HD0UgT1P8PPV
136,A-O-K,"Tai Verdes",258311,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
137,"20 Min","Lil Uzi Vert",258177,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
138,"Electric Love",BØRNS,255822,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
139,"Whiskey Glasses","Morgan Wallen",255456,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
140,Ski,"Young Stoner Life",254524,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
141,"you broke me first","Tate McRae",253986,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
142,goosebumps,"Travis Scott",253916,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
143,"Payday (feat. Young Thug)","Doja Cat",253905,https://open.spotify.com/track/2HolBGR6tpiWI80MXoV1dJ
144,"Famous Friends","Chris Young",251362,https://open.spotify.com/track/4iXDn9pu5Q9sxv45vE8Lak
145,"The Box","Roddy Ricch",249995,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
146,"I Quit Drinking","Kelsea Ballerini",249749,https://open.spotify.com/track/6OcCk1dbAb7XNHsC098oEM
147,"Talking to the Moon","Bruno Mars",248507,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
148,"Modern Day",Migos,248412,https://open.spotify.com/track/2Igem6Q4sfvXGJ3JkG7Baw
149,Naked,"Doja Cat",245052,https://open.spotify.com/track/0CsR9Y9SnC6ZWmekmVqSHz
150,Shit,"Bo Burnham",244689,https://open.spotify.com/track/2xQShwyOMYlX10w8dxbFX1
151,"Cigarette Daydreams","Cage The Elephant",244371,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
152,"Outside (Better Days)",Blueface,244123,https://open.spotify.com/track/26BMsCXJpD7eYtP7ufhApC
153,"Life Is Good (feat. Drake)",Future,243089,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
154,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,242734,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
155,Arcade,"Duncan Laurence",241816,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
156,"Tongue Tied",Grouplove,241711,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
157,"Chasing After You (with Maren Morris)","Ryan Hurd",239804,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
158,Heather,"Conan Gray",239051,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
159,"Love To Dream","Doja Cat",238958,https://open.spotify.com/track/6Q9IUoBTNLHgBib1FSFGbj
160,Goodbye,"Bo Burnham",238708,https://open.spotify.com/track/6tfPsgvkgbGHWGwq2PpzCI
161,"hot girl bummer",blackbear,236896,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
162,positions,"Ariana Grande",236718,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
163,"Wasted On You","Morgan Wallen",235667,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
164,Dynamite,BTS,235287,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
165,"Misery Business",Paramore,234694,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
166,"Knock Knock",SoFaygo,230199,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
167,"Beautiful Crazy","Luke Combs",229247,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
168,"Before You Go","Lewis Capaldi",229078,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
169,"XO Tour Llif3","Lil Uzi Vert",228000,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
170,"Don't Stop Believin'",Journey,226870,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
171,"The Less I Know The Better","Tame Impala",225268,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
172,"Tennessee Whiskey","Chris Stapleton",225201,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
173,"See You Again (feat. Kali Uchis)","Tyler, The Creator",224905,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
174,21,"Polo G",224285,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
175,"Everybody Talks","Neon Trees",224250,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
176,"More Than My Hometown","Morgan Wallen",224213,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
177,"SLOW DANCING IN THE DARK",Joji,223722,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
178,"Get You (feat. Kali Uchis)","Daniel Caesar",223610,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
179,YKWIM?,"Yot Club",223188,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
180,"Wave of You",Surfaces,223039,https://open.spotify.com/track/0KfNomDfIkM7suIHb105Oi
181,"a m a r i","J. Cole",222099,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
182,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",222004,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
183,"Jocelyn Flores",XXXTENTACION,222001,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
184,"Washing Machine Heart",Mitski,221834,https://open.spotify.com/track/4Ys8jQvZOISzmp34BsImRf
185,"Godzilla (feat. Juice WRLD)",Eminem,218656,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
186,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",218484,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
187,Dior,"Pop Smoke",218347,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
188,"The Good Ones","Gabby Barrett",217685,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
189,"Chicken Fried","Zac Brown Band",217684,https://open.spotify.com/track/3eBnEo9WL34ulBCZlLpUQO
190,"As the World Caves In","Matt Maltese",217426,https://open.spotify.com/track/3NM41PVVUr0ceootKAtkAj
191,"Ric Flair Drip (& Metro Boomin)",Offset,217349,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
192,"Glad You Exist","Dan + Shay",216976,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
193,"Hotel California - 2013 Remaster",Eagles,216486,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
194,"The Hills","The Weeknd",215504,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
195,"Dick (feat. Doja Cat)",StarBoi3,215035,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
196,working,"Tate McRae",214877,https://open.spotify.com/track/31sSFHIe4NaxltVFOEIcTa
197,2/Catorce,"Rauw Alejandro",214190,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
198,"MIDDLE CHILD","J. Cole",213729,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
199,Tampa,"Cico P",213694,https://open.spotify.com/track/4tB6ApBRk7JEBKet5mRFF3
200,Masterpiece,DaBaby,213420,https://open.spotify.com/track/26UxwWl9xCb83OynXELJcL
