,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
115,"3 Headed Goat (feat. Lil Baby & Polo G)","Lil Durk",310860,https://open.spotify.com/track/2h4cmbyb6S7e8igDZIITJU
116,"Chasin' You","Morgan Wallen",309608,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
117,"bad guy","Billie Eilish",309054,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
118,"Heartless (feat. Morgan Wallen)",Diplo,303853,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
119,"Jocelyn Flores",XXXTENTACION,303705,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
120,"Fighting Demons","Juice WRLD",298717,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
121,"Godzilla (feat. Juice WRLD)",Eminem,294099,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
122,"Say So","Doja Cat",290041,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
123,"Can't Die","Juice WRLD",287853,https://open.spotify.com/track/6DuHcOuuGWXNvF3uocsrBa
124,"TELL ME WHY","The Kid LAROI",280375,https://open.spotify.com/track/3jlxX3VXPiY3lvBBbppQD3
125,"lovely (with Khalid)","Billie Eilish",278830,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
126,GOOBA,6ix9ine,277288,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
127,"Screw Juice","Juice WRLD",276886,https://open.spotify.com/track/2XSO13Gyndo7MDdtYibIxO
128,SAD!,XXXTENTACION,274473,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
129,"MIDDLE CHILD","J. Cole",274219,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
130,"SLOW DANCING IN THE DARK",Joji,271678,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
