,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,"Calma - Remix","Pedro Capó",201398,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
190,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,200949,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
191,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",200499,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
192,"Call Out My Name","The Weeknd",200177,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
193,"Ball For Me (feat. Nicki Minaj)","Post Malone",200017,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
194,"Freaky Friday (feat. Chris Brown)","Lil Dicky",199887,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
195,"Let You Down",NF,199819,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
196,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",199564,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
197,"FeRRis WhEEL (feat. Trippie Redd)","Tory Lanez",199392,https://open.spotify.com/track/6j97zG4DDrh3oUa6rZbFOs
198,"Signed, Sealed, Delivered (I'm Yours)","Stevie Wonder",199052,https://open.spotify.com/track/3M5eeHXgG4VplKNcsBC8Dj
199,FRIENDS,Marshmello,198394,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
200,MotorSport,Migos,196342,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
