,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
163,"Now I'm In It",HAIM,249814,https://open.spotify.com/track/5K7x78NAL50rhfhm73ePNb
164,"The Less I Know The Better","Tame Impala",249470,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
165,"Yes Indeed","Lil Baby",249256,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
166,"Jocelyn Flores",XXXTENTACION,248299,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
167,"If I Can't Have You","Shawn Mendes",248012,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
168,"No Me Conoce - Remix","Jhay Cortez",247643,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
169,Lucky,"Chelsea Cutler",245877,https://open.spotify.com/track/78rFhTXf81WtRS7Ubl2f4V
170,"Look Back at It","A Boogie Wit da Hoodie",244105,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
171,"All Girls Are The Same","Juice WRLD",243685,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
172,July,"Noah Cyrus",243444,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
173,"Faucet Failure","Ski Mask The Slump God",243376,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
174,"bury a friend","Billie Eilish",242738,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
175,"Highway to Hell",AC/DC,242661,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
176,"XO Tour Llif3","Lil Uzi Vert",240926,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
177,"Carbonated Water","Ski Mask The Slump God",240309,https://open.spotify.com/track/4HPTladgOGcGzleMR3I0FK
178,"Harleys In Hawaii","Katy Perry",240125,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
179,"Goin Baby",DaBaby,239708,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
180,Teeth,"5 Seconds of Summer",238335,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
181,"Brothers (feat. Lil Durk) - Remix","Lil Tjay",237933,https://open.spotify.com/track/2wUwC1gBJIC05JH87v2hgN
182,"I Feel Love","Sam Smith",237286,https://open.spotify.com/track/29MOOOmMRPeWyPwKQFoF5t
183,Paradise,Bazzi,235456,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
184,"Whiskey Glasses","Morgan Wallen",235184,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
185,Moonlight,XXXTENTACION,232429,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
186,"Baby Sitter (feat. Offset)",DaBaby,232325,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
187,"A Thousand Bad Times","Post Malone",231523,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
188,74,"Earl Sweatshirt",230786,https://open.spotify.com/track/5KtuQpmQkNQTWsBF8QuCQb
189,I,"Lil Skies",230023,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
