,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
114,TATI,6ix9ine,370629,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
115,"Lean Wit Me","Juice WRLD",368997,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
116,"Word On The Street","Lil Baby",368230,https://open.spotify.com/track/52i143Ph5c3RQaQFBXWix1
117,"no tears left to cry","Ariana Grande",365261,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
118,Unbothered,"Ski Mask The Slump God",365027,https://open.spotify.com/track/5hwUsRKvnO5yThjVrxHQVt
119,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",364080,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
120,"SICKO MODE - Skrillex Remix","Travis Scott",363340,https://open.spotify.com/track/0u695M7KyzXaPIjpEbxOkB
121,Global,"Lil Baby",363103,https://open.spotify.com/track/7cW1wHpSLYgKWzoWlOCPFJ
122,"Ruin My Life","Zara Larsson",359502,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
123,Youngblood,"5 Seconds of Summer",358328,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
124,FEEFA,6ix9ine,357845,https://open.spotify.com/track/26jYPsHHSOxCTz4cLt6SbQ
125,"Realist In It (feat. Gucci Mane & Offset)","Lil Baby",353139,https://open.spotify.com/track/2WqTKOAUmv7hz9ZzGnXHrY
126,"LA LA","Ski Mask The Slump God",349833,https://open.spotify.com/track/2PCKWNZYcwyFKd4lVRWE8k
127,MALA,6ix9ine,347159,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
128,"New Patek","Lil Uzi Vert",346738,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
129,"Space Cadet (feat. Gunna)","Metro Boomin",346134,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
130,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",345556,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
